municipality_id,source_url,dimension,evidence_status,quoted_evidence,page_or_section,coder_notes
mun-amsterdam,https://www.amsterdam.nl/innovatie/amsterdamse-visie-ai/,D2_human_oversight_and_review,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-amsterdam,https://www.amsterdam.nl/innovatie/amsterdamse-visie-ai/,D3_prompt_log_and_data_governance,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-amsterdam,https://www.amsterdam.nl/innovatie/amsterdamse-visie-ai/,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-amsterdam,https://www.amsterdam.nl/innovatie/amsterdamse-visie-ai/,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-barcelona,https://ajuntament.barcelona.cat/digital/es/hagamos-accesible-la-tecnologia/uso-etico-inteligencia-artificial/uso-etico-de-la-inteligencia,D1_programme_ownership,observable_policy_commitment,Consejo Asesor en Inteligencia Artificial; Observatorio Global de Inteligencia Artificial Urbana,Proyectos relacionados,coding_depth: full; unnamed governance bodies referenced by title
mun-barcelona,https://ajuntament.barcelona.cat/digital/es/hagamos-accesible-la-tecnologia/uso-etico-inteligencia-artificial/uso-etico-de-la-inteligencia,D2_human_oversight_and_review,partial_or_indirect_signal,hacerlos transparentes y auditables,Strategy body,Public register commitment; auditability referenced without review workflow
mun-barcelona,https://ajuntament.barcelona.cat/digital/es/hagamos-accesible-la-tecnologia/uso-etico-inteligencia-artificial/uso-etico-de-la-inteligencia,D3_prompt_log_and_data_governance,observable_policy_commitment,respetando los derechos digitales de la ciudadanía,Strategy introduction,Digital rights and privacy minimum standards stated
mun-barcelona,https://ajuntament.barcelona.cat/digital/es/hagamos-accesible-la-tecnologia/uso-etico-inteligencia-artificial/uso-etico-de-la-inteligencia,D4_procurement_and_vendor_stewardship,observable_policy_commitment,cláusulas para que las licitaciones municipales que incluyan sistemas inteligentes lo hagan respetando los derechos de las personas,Strategy body,Tender clause commitment for intelligent systems
mun-barcelona,https://ajuntament.barcelona.cat/digital/es/hagamos-accesible-la-tecnologia/uso-etico-inteligencia-artificial/uso-etico-de-la-inteligencia,D5_incident_audit_and_lifecycle_accountability,partial_or_indirect_signal,registro público en que la ciudadanía tenga acceso a todos los algoritmos,Strategy body,Future public register commitment; no lifecycle or incident procedure
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/municipal,D1_programme_ownership,observable_policy_commitment,"Advisory Council on Artificial Intelligence, Ethics and Digital Rights",Related projects,coding_depth: full; named council title without office holders
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/municipal,D2_human_oversight_and_review,partial_or_indirect_signal,make them transparent and subject to scrutiny,Strategy body,Transparency/scrutiny commitment; no review workflow detail
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/municipal,D3_prompt_log_and_data_governance,observable_policy_commitment,respecting citizens' digital rights,Strategy introduction,Digital rights and privacy standards stated
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/municipal,D4_procurement_and_vendor_stewardship,observable_policy_commitment,clauses to ensure that any intelligent systems included in municipal tenders respect people's rights,Strategy body,Procurement clause commitment
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/municipal,D5_incident_audit_and_lifecycle_accountability,partial_or_indirect_signal,creation of a public register that gives citizens access to all the algorithms,Strategy body,Register commitment; no incident or audit artefact
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,D1_programme_ownership,observable_policy_commitment,governance and supervision bodies that will ensure that the impact of AI is in line with ethical principles,Protocol summary,coding_depth: summary; full protocol linked but not separately manifest-registered
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,D2_human_oversight_and_review,observable_policy_commitment,"used in a proportionate, supervised and grounded way",Protocol summary,Supervised use + EU risk-tier guarantee mechanisms for high-risk systems
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,D3_prompt_log_and_data_governance,partial_or_indirect_signal,City Council's data protection mechanisms,Protocol summary,Data protection referenced without AI-specific logging or prompt rules
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,D4_procurement_and_vendor_stewardship,observable_policy_commitment,"combines the public procurement process, the life cycle of an algorithmic system",Protocol summary,Procurement process integrated with implementation stages
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,D5_incident_audit_and_lifecycle_accountability,partial_or_indirect_signal,life cycle of an algorithmic system,Protocol summary,Lifecycle process reference; no incident route or published audit
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,D1_programme_ownership,observable_policy_commitment,"Advisory Council on Artificial Intelligence, Ethics and Digital Rights",Hub page,coding_depth: summary; hub linking substantive documents
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,D2_human_oversight_and_review,partial_or_indirect_signal,minimum standards to ensure a development of artificial intelligence,Hub page,Ethical standards referenced without oversight mechanism
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,D3_prompt_log_and_data_governance,observable_policy_commitment,gathering and processing of data which the algorithmic decisions are based on are not always respectful of citizens' right to privacy,Hub page,Privacy minimum standards commitment
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,D4_procurement_and_vendor_stewardship,partial_or_indirect_signal,Government Measure for a Municipal Algorithms and Data Strategy,Hub page,Indirect reference to strategy procurement clauses via linked measure
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,,,coding_depth: summary
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/%C3%98konomiudvalget/m%C3%B8de-18022020/referat/punkt-6,D1_programme_ownership,partial_or_indirect_signal,Økonomiforvaltningen; administrativ It-direktørkreds,Committee record,coding_depth: committee_record; bilag 1 (kodeks text) not separately coded
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/%C3%98konomiudvalget/m%C3%B8de-18022020/referat/punkt-6,D2_human_oversight_and_review,observable_policy_commitment,Kunstig intelligens skal være en støtte til fagligheden,Kodeks goals,Human professional support principle in approved code
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/%C3%98konomiudvalget/m%C3%B8de-18022020/referat/punkt-6,D3_prompt_log_and_data_governance,partial_or_indirect_signal,databeskyttelsesloven,Problemstilling,Existing data protection law referenced; no AI-specific logging detail
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/%C3%98konomiudvalget/m%C3%B8de-18022020/referat/punkt-6,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,coding_depth: committee_record
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/%C3%98konomiudvalget/m%C3%B8de-18022020/referat/punkt-6,D5_incident_audit_and_lifecycle_accountability,observable_policy_commitment,løbende vurdere behovet for at revidere kodekset,Løbende revidering,Commitment to ongoing revision of AI code
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/Borgerrepr%C3%A6sentationen/m%C3%B8de-01022024/referat/punkt-3,D1_programme_ownership,partial_or_indirect_signal,årlige opfølgning på strategien sker til Økonomiudvalget,Indstilling,coding_depth: committee_record; Økonomiforvaltningen authored strategy
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/Borgerrepr%C3%A6sentationen/m%C3%B8de-01022024/referat/punkt-3,D2_human_oversight_and_review,partial_or_indirect_signal,samspillet mellem mennesker og teknologi,Høring i fagudvalgene,Human-technology interplay discussed in hearing summary
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/Borgerrepr%C3%A6sentationen/m%C3%B8de-01022024/referat/punkt-3,D3_prompt_log_and_data_governance,observable_policy_commitment,Data og dataetik,Strategic focus areas,Focus area 5: data and data ethics
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/Borgerrepr%C3%A6sentationen/m%C3%B8de-01022024/referat/punkt-3,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,coding_depth: committee_record; minutes page not strategy bilag
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/Borgerrepr%C3%A6sentationen/m%C3%B8de-01022024/referat/punkt-3,D5_incident_audit_and_lifecycle_accountability,observable_policy_commitment,årlig opfølgning på strategien sker til Økonomiudvalget,Indstilling,Annual strategy follow-up commitment; generative AI named as technology focus
mun-helsinki,https://ai.hel.fi/en/ai-register/,D1_programme_ownership,partial_or_indirect_signal,City of Helsinki,Register landing,coding_unit: register_level
mun-helsinki,https://ai.hel.fi/en/ai-register/,D2_human_oversight_and_review,partial_or_indirect_signal,building human-centered AI in Helsinki,Register introduction,coding_unit: register_level; human-centered framing only
mun-helsinki,https://ai.hel.fi/en/ai-register/,D3_prompt_log_and_data_governance,not_observable_publicly,,,coding_unit: register_level
mun-helsinki,https://ai.hel.fi/en/ai-register/,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,coding_unit: register_level
mun-helsinki,https://ai.hel.fi/en/ai-register/,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,,,coding_unit: register_level
mun-helsinki,https://ai.hel.fi/,D1_programme_ownership,partial_or_indirect_signal,Helsingin kaupungin tekoälyrekisteri,Register landing,coding_unit: register_level; FI homepage parallel to EN register
mun-helsinki,https://ai.hel.fi/,D2_human_oversight_and_review,partial_or_indirect_signal,ihmislähtöistä tekoälyä,Meta description,coding_unit: register_level
mun-helsinki,https://ai.hel.fi/,D3_prompt_log_and_data_governance,not_observable_publicly,,,coding_unit: register_level
mun-helsinki,https://ai.hel.fi/,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,coding_unit: register_level
mun-helsinki,https://ai.hel.fi/,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,,,coding_unit: register_level
mun-helsinki,https://ai.hel.fi/en/get-to-know-ai-register/,D1_programme_ownership,observable_policy_commitment,human is always accountable for the operation of it,What does AI mean?,coding_depth: full; service-level accountability principle
mun-helsinki,https://ai.hel.fi/en/get-to-know-ai-register/,D2_human_oversight_and_review,observable_policy_commitment,People are needed to teach and control the AI,What does AI mean?,Explicit human control obligation
mun-helsinki,https://ai.hel.fi/en/get-to-know-ai-register/,D3_prompt_log_and_data_governance,observable_policy_commitment,"principles of responsibility, transparency, and security",Ethical principles section,D3 cap: ethical principles without log/prompt detail
mun-helsinki,https://ai.hel.fi/en/get-to-know-ai-register/,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,
mun-helsinki,https://ai.hel.fi/en/get-to-know-ai-register/,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,,,
mun-helsinki,https://ai.hel.fi/eettiset-periaatteet/,D1_programme_ownership,observable_policy_commitment,Osoitamme jokaiselle tekoälyä hyödyntävälle palvelulle vastuutahon,Vastuu ja luottamus,quoted_evidence in FI; gloss: responsible party per AI service
mun-helsinki,https://ai.hel.fi/eettiset-periaatteet/,D2_human_oversight_and_review,observable_policy_commitment,Ihmisen kontrollissa,Principle section,Human monitoring and intervention capacity required
mun-helsinki,https://ai.hel.fi/eettiset-periaatteet/,D3_prompt_log_and_data_governance,observable_policy_commitment,Yksityisyys; Turvallisuus; Läpinäkyvyys,Eight principles,D3 cap: ethical data principles; no log/prompt/retention periods
mun-helsinki,https://ai.hel.fi/eettiset-periaatteet/,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,
mun-helsinki,https://ai.hel.fi/eettiset-periaatteet/,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,,,
mun-helsinki,https://paatokset.hel.fi/fi/asia/hel-2023-000693,D1_programme_ownership,observable_policy_commitment,vastuu ja luottamus,Päätös,coding_depth: committee_record; decision adopts eight principles including accountable party
mun-helsinki,https://paatokset.hel.fi/fi/asia/hel-2023-000693,D2_human_oversight_and_review,observable_policy_commitment,ihmisen kontrollissa,Päätös,Principle adopted by Kansliapäällikkö decision
mun-helsinki,https://paatokset.hel.fi/fi/asia/hel-2023-000693,D3_prompt_log_and_data_governance,observable_policy_commitment,"yksityisyys, turvallisuus, läpinäkyvyys",Päätös,D3 cap: principles listed in decision text
mun-helsinki,https://paatokset.hel.fi/fi/asia/hel-2023-000693,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,coding_depth: committee_record
mun-helsinki,https://paatokset.hel.fi/fi/asia/hel-2023-000693,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,,,coding_depth: committee_record
mun-vienna,https://www.wien.gv.at/spezial/ki-strategie/,D1_programme_ownership,not_observable_publicly,,,coding_depth: summary; portal table of contents only
mun-vienna,https://www.wien.gv.at/spezial/ki-strategie/,D2_human_oversight_and_review,partial_or_indirect_signal,Mensch im Mittelpunkt,Section 2.1 title,Section title only; no process detail on index page
mun-vienna,https://www.wien.gv.at/spezial/ki-strategie/,D3_prompt_log_and_data_governance,not_observable_publicly,,,coding_depth: summary
mun-vienna,https://www.wien.gv.at/spezial/ki-strategie/,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,coding_depth: summary
mun-vienna,https://www.wien.gv.at/spezial/ki-strategie/,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,,,coding_depth: summary
mun-vienna,https://www.wien.gv.at/spezial/ki-strategie/grundzugang/ki-als-schlusseltechnologie-fur-den-offentlichen-bereich/,D1_programme_ownership,partial_or_indirect_signal,"Organisations-einheiten, die in ihrem Wirkungsbereich KI-Projekte sondieren",Strategy foundation,Organisational units with AI projects referenced; no named programme owner
mun-vienna,https://www.wien.gv.at/spezial/ki-strategie/grundzugang/ki-als-schlusseltechnologie-fur-den-offentlichen-bereich/,D2_human_oversight_and_review,observable_policy_commitment,verantwortungsvoller Umgang der Stadtverwaltung mit KI,Foundation chapter,Responsible use commitment anchored in Digital Humanism
mun-vienna,https://www.wien.gv.at/spezial/ki-strategie/grundzugang/ki-als-schlusseltechnologie-fur-den-offentlichen-bereich/,D3_prompt_log_and_data_governance,partial_or_indirect_signal,"Datenschutz, Urheberrecht",Existing legislation,Existing legal frameworks referenced; no AI-specific logging detail
mun-vienna,https://www.wien.gv.at/spezial/ki-strategie/grundzugang/ki-als-schlusseltechnologie-fur-den-offentlichen-bereich/,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,
mun-vienna,https://www.wien.gv.at/spezial/ki-strategie/grundzugang/ki-als-schlusseltechnologie-fur-den-offentlichen-bereich/,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,,,
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,D1_programme_ownership,observable_named_artifact,ICT Strategy and Process Management Group (MD-OS/PIKT),Legal notice,coding_depth: full; named responsible unit with contact
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,D2_human_oversight_and_review,observable_policy_commitment,"framework for the ethical, transparent and responsible use of AI",Section 3.2,Risk-based approach; human-centred administration approach
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,D3_prompt_log_and_data_governance,observable_policy_commitment,"protection of privacy, of personal data and intellectual property",Digital Humanism chapter,Data protection commitments; no log retention periods
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,coding_depth: full
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,D5_incident_audit_and_lifecycle_accountability,observable_policy_commitment,"identify, evaluate and, if applicable, implement suitable use cases",Section 3.1,Regular use-case evaluation; centralised electronic register for AI applications required
mun-vienna,https://digitales.wien.gv.at/ki-kompass-fuer-bedienstete-der-stadt-wien/,D1_programme_ownership,observable_named_artifact,"AI-Kompetenznetzwerk, bestehend aus Vertreter*innen der Magistratsdirektion",Entstehungsgeschichte,coding_depth: summary; coded artefact: linked PDF also available
mun-vienna,https://digitales.wien.gv.at/ki-kompass-fuer-bedienstete-der-stadt-wien/,D2_human_oversight_and_review,observable_policy_commitment,Bei der Verwendung von KI-generierten Inhalten trägt der Mensch die Verantwortung,Grundsätze,Human responsibility principle on landing page
mun-vienna,https://digitales.wien.gv.at/ki-kompass-fuer-bedienstete-der-stadt-wien/,D3_prompt_log_and_data_governance,observable_policy_commitment,rechtskonformen Umgang mit sensiblen beziehungsweise personenbezogenen Daten und dem Amtsgeheimnis,Grundsätze,Personal data and official secrecy obligations stated
mun-vienna,https://digitales.wien.gv.at/ki-kompass-fuer-bedienstete-der-stadt-wien/,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,coding_depth: summary
mun-vienna,https://digitales.wien.gv.at/ki-kompass-fuer-bedienstete-der-stadt-wien/,D5_incident_audit_and_lifecycle_accountability,observable_policy_commitment,Kompass ... wird aktualisiert,Page metadata,Ongoing evaluation/update commitment noted on page
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/07/20250407_AI-Compass_engl.pdf,D1_programme_ownership,observable_named_artifact,AI Competence Network (headed by the Executive Group for Organisation and Security (MD-OS)),Document header,coding_depth: full
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/07/20250407_AI-Compass_engl.pdf,D2_human_oversight_and_review,observable_policy_commitment,Human users remain responsible when using content generated by AI,Section 2.1,Critical review and ethical acceptability check required
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/07/20250407_AI-Compass_engl.pdf,D3_prompt_log_and_data_governance,observable_policy_commitment,MDK – 2008102-2022-1 Datenschutz im Magistrat der Stadt Wien,Footnote framework conditions,References municipal data protection decree; prompt quality discussed
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/07/20250407_AI-Compass_engl.pdf,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,coding_depth: full
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/07/20250407_AI-Compass_engl.pdf,D5_incident_audit_and_lifecycle_accountability,observable_policy_commitment,subject to ongoing evaluation and will be updated if necessary,Introduction,Document revision commitment
mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,D1_programme_ownership,partial_or_indirect_signal,CKT-Prozess,Transparency section,Internal compliance process named; no programme owner role
mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,D2_human_oversight_and_review,observable_policy_commitment,KI-Anwendungen vor ihrer Einführung sorgfältig geprüft werden,CKT-Prozess,Pre-introduction review obligation
mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,D3_prompt_log_and_data_governance,observable_policy_commitment,"Datensicherheit, die Minimierung der Datenerhebung und transparente Informationspflichten",Datenschutzaspekte,Data minimization and security review in CKT process
mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,D4_procurement_and_vendor_stewardship,partial_or_indirect_signal,Bewertung der Service-Provider,Phase 2,Service provider evaluation in CKT phase 2
mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,D5_incident_audit_and_lifecycle_accountability,observable_policy_commitment,regelmäßigen Überprüfung hinsichtlich ihrer Aktualität,CKT guideline review,CKT guideline reviewed at least every 5 years
mun-tallinn,https://strateegia.tallinn.ee/,D1_programme_ownership,not_observable_publicly,,,coding_depth: summary; landing page; AI-specific governance text not observable
mun-tallinn,https://strateegia.tallinn.ee/,D2_human_oversight_and_review,not_observable_publicly,,,coding_depth: summary
mun-tallinn,https://strateegia.tallinn.ee/,D3_prompt_log_and_data_governance,not_observable_publicly,,,coding_depth: summary
mun-tallinn,https://strateegia.tallinn.ee/,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,coding_depth: summary
mun-tallinn,https://strateegia.tallinn.ee/,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,,,coding_depth: summary
mun-tallinn,https://www.tallinn.ee/en/internationalprojects/betti,D1_programme_ownership,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-tallinn,https://www.tallinn.ee/en/internationalprojects/betti,D2_human_oversight_and_review,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-tallinn,https://www.tallinn.ee/en/internationalprojects/betti,D3_prompt_log_and_data_governance,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-tallinn,https://www.tallinn.ee/en/internationalprojects/betti,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-tallinn,https://www.tallinn.ee/en/internationalprojects/betti,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-tallinn,https://www.tallinn.ee/en/digikaksik/tallinn-digital-twin,D1_programme_ownership,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-tallinn,https://www.tallinn.ee/en/digikaksik/tallinn-digital-twin,D2_human_oversight_and_review,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-tallinn,https://www.tallinn.ee/en/digikaksik/tallinn-digital-twin,D3_prompt_log_and_data_governance,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-tallinn,https://www.tallinn.ee/en/digikaksik/tallinn-digital-twin,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-tallinn,https://www.tallinn.ee/en/digikaksik/tallinn-digital-twin,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
